表名,估算行数
"TBLJDS_TIME_AXIS_HIS","0"
"TBLJDS_TIME_AXIS_MR","0"
"TBLJDS_TIME_AXIS_MR_HIS","0"
"TBLJDS_TIME_AXIS_REST","0"
"TBLJDS_TIME_AXIS_REST_HIS","0"
"TBLJDS_TIME_AXIS_TASK_HIS","0"
"TBLJDS_TIME_AXIS_TASK_HIS_D","0"
"TBLJDS_UPDATE_LOT","0"
"TBLJDS_UPDATE_WIPBACK","0"
"TBLJDS_USER","0"
"TBLJDS_USER_BINDING","0"
"TBLJDS_USER_EQ","0"
"TBLJDS_USER_GROUP","0"
"TBLJDS_USER_GROUP_D","0"
"TBLJDS_USER_ORG","0"
"TBLLABELPRINTLINE","0"
"tblLicenseHistory","0"
"TBLLOGININFO","29"
"TBLMESAUTORUNJOB","117"
"TBLMESAUTORUNLOG","0"
"TBLMESAUTORUNQUEUE","0"
"TBLMNTCARCLOSERATE","31"
"TBLMSAFORM","0"
"TBLMSAGRRBASIS","0"
"TBLMSAGRRDATABASISTEMP","0"
"TBLMSAGRRDATADETAILTEMP","0"
"TBLMSAGRRUSERMAP","0"
"TBLMSAINSTRUMENTBASIS","0"
"TBLMSAINSTRUMENTTYPE","0"
"TBLMSAMEASUREATTDATADETAIL","0"
"TBLMSAMEASUREATTDATALOG","0"
"TBLMSAMEASUREDATABASIS","0"
"TBLMSAMEASUREVARDATADETAIL","0"
"TBLMSAMEASUREVARDATALOG","0"
"TBLMSAUSERMAP","0"
"TBLMSAXLSFILE","0"
"TBLMSGCategory","27"
"TBLMSGCategoryEmployees","78"
"TBLMSGDetail","2582"
"TBLMSGDetailFiles","0"
"TBLMSGDetailTargets","29208"
"TBLMSGDetailTypes","126"
"TBLMSGEventQueue","1"
"TBLMSGModelBasis","34"
"TBLMSGMODELBASISFIELDS","0"
"TBLMSGModelBasisParameters","82"
"TBLMSGModelSend","26"
"TBLMSGModelSendParameters","10"
"TBLMSGModelSendPipes","48"
"TBLMSGModelSendTypes","3"
"TBLMSGPhrase","7"
"TBLMSGPipesSys","6"
"TBLMSGServiceType","12"
"TBLMSGTypesSys","6"
"TBLMSGUserPhrase","5"
"TBLMTLMATERIALBASIS","46538"
"TBLMTLMATERIALGROUPBASIS","0"
"TBLMTLMATERIALGROUPDETAIL","0"
"TBLMTLMATERIALPROPERTY","1"
"TBLMTLMATERIALTYPE","2"
"TBLMTLMATERIALVENDOR","0"
"TBLMTLMATERIALVENDORCONTACTOR","0"
"TBLMTLMATERIALVENDORMAP","0"
"TBLMTLQCITEM","0"
"tblMTLTypeQCItem","0"
"TBLMULTILLANGUAGE","811"
"TBLOCIMPORTSIPSETTINGEXCEL","0"
"tblOEMOAccessoryCombineLog","0"
"tblOEMOAccessoryCombineState","0"
"TBLOEMOBASIS","9280"
"TBLOEMOBASISIMPORT","4"
"TBLOEMOBASISIMPORTFAILEDLIST","1"
"TBLOEMOCOMPONENT","0"
"TBLOEMODISPQTY_PROXENE","0"
"tblOEMOFeature","0"
"TBLOEMOMATERIALINBASIS_ERP","26477"
"TBLOEMOMATERIALLIST","7838"
"TBLOEMOMATERIALLIST_ERP","1848381"
"tblOEMOMaterialList_Unused","0"
"TBLOEMOMATERIALLISTLOG","0"
"TBLOEMOMATERIALSTATE","4179"
"TBLOEMOMATERIALTOERPLOG","0"
"tblOEMOMtlBrAndReLog","0"
"TBLOEMOPROCESS","9287"
"TBLOEMOPROPERTY","19614"
"TBLOEMOPROPERTY_RECIVE","19614"
"TBLOEMOSEMIOUT","0"
"TBLOEMOSERIALCREATEMAX","0"
"tblOEMOSource","3642"
"TBLOEROBASIS","1744"
"TBLOERODETAIL","3560"
"TBLOEROPROPERTY","0"
"TBLOEROPROPERTY_RECIVE","0"
"TBLOPABNORMAL","0"
"TBLOPAREA","173"
"TBLOPATTRIB","0"
"TBLOPBASIS","139"
"TBLOPBUSINESSRULEBASIS","45"
"TBLOPBUSINESSRULERELATION","654"
"TBLOPCONTROLRULE","0"
"TBLOPEQPRECIPE","0"
"TBLOPEQUIPMENTTYPE","0"
"TBLOPERROR","479"
"TBLOPGQCITEMDETAIL","0"
"TBLOPGROUPBASIS","5"
"TBLOPGROUPDETAIL","151"
"tblOPLeanProperty","0"
"tblOPMEQP","0"
"tblOPMOP","0"
"tblOPMOPSUBOP","0"
"tblOPMOtherReason","0"
"tblOPMPRDOP","0"
"tblOPMPRDOPSUBOP","0"
"tblOPMSUBOP","0"
"tblOPMUpdateLog","0"
"TBLOPNODEGROUPBASIS","0"
"TBLOPNODEGROUPDETAIL","0"
"TBLOPPROPERTY","0"
"TBLOPQCITEM","0"
